id,name,description,price,cost,image,category,additional_categories,popular,available,has_variations,variation_groups,price_from,tipo,permite_combinacao,max_sabores,is_half_pizza,combination,pizza_borders,borders_position,frete_gratis,created_at,updated_at
13FDsPDQE5yjAvgPCzd0,Romanesca,"Mussarela, tomate, aliche e cebola	",70,42,https://xiahufkvflyuvzhuhwpm.supabase.co/storage/v1/object/public/imagens-cardapio/Romanesca-otimizada-31052026113811.webp,grandes-salgadas,[],false,true,true,"[{""id"":""65200a28-fd77-47d6-8d1a-765523d1602b"",""name"":""Adicionais"",""maxAllowed"":10,""variations"":[""f78ebbee-55a3-4455-ae8b-6f67a65415a1"",""579a739b-3dd7-43a1-95bf-4417e13aa85f"",""62412b08-cef0-4c91-bd3d-3f8fe660262b"",""e89d4ef3-40ff-4078-b8f3-f5d37dfed0dd"",""f8fafdb1-96ab-449a-b35e-0124f50a90eb"",""7888ee6b-9c65-4f96-bfc5-771adcdd30b0"",""8b6d8cc8-e5dc-4afc-97e2-91884b35811a"",""91f8df10-9f26-43ef-9b14-fc0e1b2d1bf9"",""d7bd9e30-9304-448e-81df-2dfeaf927cb8"",""3d9f4a17-a09f-4f8b-a6a0-f487bffc51f9"",""c3fd2e01-9e89-4c78-be81-e7d2170cc7f4"",""c8f0326f-79a3-421d-84b4-d0088e689b7d"",""7dd29981-e50f-409a-8fd5-68a29d5ef0d8"",""00c1e06d-5e66-45a2-a322-900b743b58fc"",""05ecdd1e-e2d4-4f42-b27a-7f8fb48f71fd"",""dd8d0bb6-cb73-4028-99f3-66440db3460f"",""ef119b22-adeb-4919-a8f2-2030052341c4"",""11d6bf6e-7ca4-4ed3-ad14-15304649f97f"",""642e36c0-d22a-4adb-ad46-2b041cd5c4fc"",""3bfd146f-f42a-4d23-aef8-1d5b0932f469"",""1410a2b0-1313-40e3-a5eb-32f62a35b7ab""],""minRequired"":0,""allowPerHalf"":true,""internalName"":""Adicionais Pizzas Grandes Salgadas"",""customMessage"":""Turbine sua pizza com esses adicionais"",""applyToHalfPizza"":true}]",false,pizza,true,2,false,,"[{""id"":""429ed7dc-d200-4a74-a464-462bb2139ade"",""name"":""🍯 Doce de Leite"",""available"":true,""description"":"""",""additionalPrice"":15},{""id"":""5afc6eb7-e4c0-4f09-8fe0-70b203810677"",""name"":""🧀 Cheddar"",""available"":true,""description"":"""",""additionalPrice"":15},{""id"":""880cbc22-7f38-4c19-b43c-ef3cdb169b7d"",""name"":""🧀 Catupiry"",""available"":true,""description"":"""",""additionalPrice"":15},{""id"":""139807d7-f35f-43fb-a346-7f79cf615466"",""name"":""🤎 Chocolate"",""available"":true,""description"":"""",""additionalPrice"":15}]",0,false,2026-05-29 02:17:52.336267+00,2026-05-31 14:38:13.417101+00
1a6mFIY5SCdrXNynFJcz,Namorados	,"Mussarela, palmito e catupiry	",55,33,https://xiahufkvflyuvzhuhwpm.supabase.co/storage/v1/object/public/imagens-cardapio/Namorados-otimizada-31052026113507.webp,grandes-salgadas,[],false,true,true,"[{""id"":""65200a28-fd77-47d6-8d1a-765523d1602b"",""name"":""Adicionais"",""maxAllowed"":10,""variations"":[""f78ebbee-55a3-4455-ae8b-6f67a65415a1"",""579a739b-3dd7-43a1-95bf-4417e13aa85f"",""62412b08-cef0-4c91-bd3d-3f8fe660262b"",""e89d4ef3-40ff-4078-b8f3-f5d37dfed0dd"",""f8fafdb1-96ab-449a-b35e-0124f50a90eb"",""7888ee6b-9c65-4f96-bfc5-771adcdd30b0"",""8b6d8cc8-e5dc-4afc-97e2-91884b35811a"",""91f8df10-9f26-43ef-9b14-fc0e1b2d1bf9"",""d7bd9e30-9304-448e-81df-2dfeaf927cb8"",""3d9f4a17-a09f-4f8b-a6a0-f487bffc51f9"",""c3fd2e01-9e89-4c78-be81-e7d2170cc7f4"",""c8f0326f-79a3-421d-84b4-d0088e689b7d"",""7dd29981-e50f-409a-8fd5-68a29d5ef0d8"",""00c1e06d-5e66-45a2-a322-900b743b58fc"",""05ecdd1e-e2d4-4f42-b27a-7f8fb48f71fd"",""dd8d0bb6-cb73-4028-99f3-66440db3460f"",""ef119b22-adeb-4919-a8f2-2030052341c4"",""11d6bf6e-7ca4-4ed3-ad14-15304649f97f"",""642e36c0-d22a-4adb-ad46-2b041cd5c4fc"",""3bfd146f-f42a-4d23-aef8-1d5b0932f469"",""1410a2b0-1313-40e3-a5eb-32f62a35b7ab""],""minRequired"":0,""allowPerHalf"":true,""internalName"":""Adicionais Pizzas Grandes Salgadas"",""customMessage"":""Turbine sua pizza com esses adicionais"",""applyToHalfPizza"":true}]",false,pizza,true,2,false,,"[{""id"":""429ed7dc-d200-4a74-a464-462bb2139ade"",""name"":""🍯 Doce de Leite"",""available"":true,""description"":"""",""additionalPrice"":15},{""id"":""5afc6eb7-e4c0-4f09-8fe0-70b203810677"",""name"":""🧀 Cheddar"",""available"":true,""description"":"""",""additionalPrice"":15},{""id"":""880cbc22-7f38-4c19-b43c-ef3cdb169b7d"",""name"":""🧀 Catupiry"",""available"":true,""description"":"""",""additionalPrice"":15},{""id"":""139807d7-f35f-43fb-a346-7f79cf615466"",""name"":""🤎 Chocolate"",""available"":true,""description"":"""",""additionalPrice"":15}]",0,false,2026-05-29 02:17:52.336267+00,2026-05-31 14:35:08.934412+00
1GiBiAn2JSK4vmo4DRYh,Esfiha Frango c/ Queijo e Milho	,Frango com Queijo e Milho,8,4.8,https://ugxpfpbwyzefkyhpxqra.supabase.co/storage/v1/object/public/imagens-cardapio/Frango_com_Queijo_e_Milho-otimizada-06052026202725.webp,esfihas,[],false,true,false,[],false,padrao,false,2,false,,[],,false,2026-05-29 02:17:52.336267+00,2026-05-29 02:17:52.336267+00
1nNOHE7ml5l87gHVt1lf,Sensação,"Chocolate, morango e granulado	",53,31.8,https://aealgiyzbenbhhftwkxb.supabase.co/storage/v1/object/public/imagens-cardapio/moliixzewnh_1777645253776.webp,grandes-doces,[],false,true,true,"[{""id"":""65200a28-fd77-47d6-8d1a-765523d1602b"",""name"":""Adicionais"",""maxAllowed"":10,""variations"":[""f78ebbee-55a3-4455-ae8b-6f67a65415a1"",""579a739b-3dd7-43a1-95bf-4417e13aa85f"",""62412b08-cef0-4c91-bd3d-3f8fe660262b"",""e89d4ef3-40ff-4078-b8f3-f5d37dfed0dd"",""f8fafdb1-96ab-449a-b35e-0124f50a90eb"",""7888ee6b-9c65-4f96-bfc5-771adcdd30b0"",""8b6d8cc8-e5dc-4afc-97e2-91884b35811a"",""91f8df10-9f26-43ef-9b14-fc0e1b2d1bf9"",""d7bd9e30-9304-448e-81df-2dfeaf927cb8"",""3d9f4a17-a09f-4f8b-a6a0-f487bffc51f9"",""c3fd2e01-9e89-4c78-be81-e7d2170cc7f4"",""c8f0326f-79a3-421d-84b4-d0088e689b7d"",""7dd29981-e50f-409a-8fd5-68a29d5ef0d8"",""00c1e06d-5e66-45a2-a322-900b743b58fc"",""05ecdd1e-e2d4-4f42-b27a-7f8fb48f71fd"",""dd8d0bb6-cb73-4028-99f3-66440db3460f"",""ef119b22-adeb-4919-a8f2-2030052341c4"",""11d6bf6e-7ca4-4ed3-ad14-15304649f97f"",""642e36c0-d22a-4adb-ad46-2b041cd5c4fc"",""3bfd146f-f42a-4d23-aef8-1d5b0932f469"",""1410a2b0-1313-40e3-a5eb-32f62a35b7ab""],""minRequired"":0,""allowPerHalf"":true,""internalName"":""Adicionais Pizzas Grandes Salgadas"",""customMessage"":""Turbine sua pizza com esses adicionais"",""applyToHalfPizza"":true}]",false,pizza,true,2,false,,"[{""id"":""429ed7dc-d200-4a74-a464-462bb2139ade"",""name"":""🍯 Doce de Leite"",""available"":true,""description"":"""",""additionalPrice"":15},{""id"":""5afc6eb7-e4c0-4f09-8fe0-70b203810677"",""name"":""🧀 Cheddar"",""available"":true,""description"":"""",""additionalPrice"":15},{""id"":""880cbc22-7f38-4c19-b43c-ef3cdb169b7d"",""name"":""🧀 Catupiry"",""available"":true,""description"":"""",""additionalPrice"":15},{""id"":""139807d7-f35f-43fb-a346-7f79cf615466"",""name"":""🤎 Chocolate"",""available"":true,""description"":"""",""additionalPrice"":15}]",0,false,2026-05-29 02:17:52.336267+00,2026-06-13 21:16:39.887267+00
1VR2MNHDz8eHhN2CZQIV,Quatro Queijos 2,"Muçarela, Catupiry. Parmesão e Gorgonzola",40.5,24.3,https://ugxpfpbwyzefkyhpxqra.supabase.co/storage/v1/object/public/imagens-cardapio/Quatro_Queijos-otimizada-06052026124345.webp,brotos-salgados,[],false,true,false,[],false,pizza,false,2,false,,[],,false,2026-05-29 02:17:52.336267+00,2026-05-29 02:17:52.336267+00
24XUXI548SnrqXXE7prQ,Maçã Verde	,"Maçã verde, chocolate branco e canela	",51,30.6,https://aealgiyzbenbhhftwkxb.supabase.co/storage/v1/object/public/imagens-cardapio/m1qqiwsownc_1777645176535.webp,grandes-doces,[],false,true,true,"[{""id"":""65200a28-fd77-47d6-8d1a-765523d1602b"",""name"":""Adicionais"",""maxAllowed"":10,""variations"":[""f78ebbee-55a3-4455-ae8b-6f67a65415a1"",""579a739b-3dd7-43a1-95bf-4417e13aa85f"",""62412b08-cef0-4c91-bd3d-3f8fe660262b"",""e89d4ef3-40ff-4078-b8f3-f5d37dfed0dd"",""f8fafdb1-96ab-449a-b35e-0124f50a90eb"",""7888ee6b-9c65-4f96-bfc5-771adcdd30b0"",""8b6d8cc8-e5dc-4afc-97e2-91884b35811a"",""91f8df10-9f26-43ef-9b14-fc0e1b2d1bf9"",""d7bd9e30-9304-448e-81df-2dfeaf927cb8"",""3d9f4a17-a09f-4f8b-a6a0-f487bffc51f9"",""c3fd2e01-9e89-4c78-be81-e7d2170cc7f4"",""c8f0326f-79a3-421d-84b4-d0088e689b7d"",""7dd29981-e50f-409a-8fd5-68a29d5ef0d8"",""00c1e06d-5e66-45a2-a322-900b743b58fc"",""05ecdd1e-e2d4-4f42-b27a-7f8fb48f71fd"",""dd8d0bb6-cb73-4028-99f3-66440db3460f"",""ef119b22-adeb-4919-a8f2-2030052341c4"",""11d6bf6e-7ca4-4ed3-ad14-15304649f97f"",""642e36c0-d22a-4adb-ad46-2b041cd5c4fc"",""3bfd146f-f42a-4d23-aef8-1d5b0932f469"",""1410a2b0-1313-40e3-a5eb-32f62a35b7ab""],""minRequired"":0,""allowPerHalf"":true,""internalName"":""Adicionais Pizzas Grandes Salgadas"",""customMessage"":""Turbine sua pizza com esses adicionais"",""applyToHalfPizza"":true}]",false,pizza,true,2,false,,"[{""id"":""429ed7dc-d200-4a74-a464-462bb2139ade"",""name"":""🍯 Doce de Leite"",""available"":true,""description"":"""",""additionalPrice"":15},{""id"":""5afc6eb7-e4c0-4f09-8fe0-70b203810677"",""name"":""🧀 Cheddar"",""available"":true,""description"":"""",""additionalPrice"":15},{""id"":""880cbc22-7f38-4c19-b43c-ef3cdb169b7d"",""name"":""🧀 Catupiry"",""available"":true,""description"":"""",""additionalPrice"":15},{""id"":""139807d7-f35f-43fb-a346-7f79cf615466"",""name"":""🤎 Chocolate"",""available"":true,""description"":"""",""additionalPrice"":15}]",0,false,2026-05-29 02:17:52.336267+00,2026-06-13 21:16:39.887267+00
2iM3O815rlPEA5ScYrKa,Baiacatu,"Calabresa Moída, catupiry e cebola",40.5,24.3,https://ugxpfpbwyzefkyhpxqra.supabase.co/storage/v1/object/public/imagens-cardapio/Baiacatu-otimizada-06052026121615.webp,brotos-salgados,[],false,true,false,[],false,pizza,false,2,false,,[],,false,2026-05-29 02:17:52.336267+00,2026-05-29 02:17:52.336267+00
391AKfp5PehD5FZ0JpJR,Frango Especial 2	,"Frango, cheddar, mussarela e bacon	",63,37.8,https://xiahufkvflyuvzhuhwpm.supabase.co/storage/v1/object/public/imagens-cardapio/Frango_Especial_2-otimizada-31052026113147.webp,grandes-salgadas,[],false,true,true,"[{""id"":""65200a28-fd77-47d6-8d1a-765523d1602b"",""name"":""Adicionais"",""maxAllowed"":10,""variations"":[""f78ebbee-55a3-4455-ae8b-6f67a65415a1"",""579a739b-3dd7-43a1-95bf-4417e13aa85f"",""62412b08-cef0-4c91-bd3d-3f8fe660262b"",""e89d4ef3-40ff-4078-b8f3-f5d37dfed0dd"",""f8fafdb1-96ab-449a-b35e-0124f50a90eb"",""7888ee6b-9c65-4f96-bfc5-771adcdd30b0"",""8b6d8cc8-e5dc-4afc-97e2-91884b35811a"",""91f8df10-9f26-43ef-9b14-fc0e1b2d1bf9"",""d7bd9e30-9304-448e-81df-2dfeaf927cb8"",""3d9f4a17-a09f-4f8b-a6a0-f487bffc51f9"",""c3fd2e01-9e89-4c78-be81-e7d2170cc7f4"",""c8f0326f-79a3-421d-84b4-d0088e689b7d"",""7dd29981-e50f-409a-8fd5-68a29d5ef0d8"",""00c1e06d-5e66-45a2-a322-900b743b58fc"",""05ecdd1e-e2d4-4f42-b27a-7f8fb48f71fd"",""dd8d0bb6-cb73-4028-99f3-66440db3460f"",""ef119b22-adeb-4919-a8f2-2030052341c4"",""11d6bf6e-7ca4-4ed3-ad14-15304649f97f"",""642e36c0-d22a-4adb-ad46-2b041cd5c4fc"",""3bfd146f-f42a-4d23-aef8-1d5b0932f469"",""1410a2b0-1313-40e3-a5eb-32f62a35b7ab""],""minRequired"":0,""allowPerHalf"":true,""internalName"":""Adicionais Pizzas Grandes Salgadas"",""customMessage"":""Turbine sua pizza com esses adicionais"",""applyToHalfPizza"":true}]",false,pizza,true,2,false,,"[{""id"":""429ed7dc-d200-4a74-a464-462bb2139ade"",""name"":""🍯 Doce de Leite"",""available"":true,""description"":"""",""additionalPrice"":15},{""id"":""5afc6eb7-e4c0-4f09-8fe0-70b203810677"",""name"":""🧀 Cheddar"",""available"":true,""description"":"""",""additionalPrice"":15},{""id"":""880cbc22-7f38-4c19-b43c-ef3cdb169b7d"",""name"":""🧀 Catupiry"",""available"":true,""description"":"""",""additionalPrice"":15},{""id"":""139807d7-f35f-43fb-a346-7f79cf615466"",""name"":""🤎 Chocolate"",""available"":true,""description"":"""",""additionalPrice"":15}]",0,false,2026-05-29 02:17:52.336267+00,2026-05-31 14:31:49.394874+00
3h9iKVPsDJSIUJhmTc7m,Toscana,"Mussarela, calabresa moída e cebola	",40.5,24.3,https://ugxpfpbwyzefkyhpxqra.supabase.co/storage/v1/object/public/imagens-cardapio/Toscana-otimizada-06052026124815.webp,brotos-salgados,[],false,true,false,[],false,pizza,false,2,false,,[],,false,2026-05-29 02:17:52.336267+00,2026-05-29 02:17:52.336267+00
3n1utSWVJgtff3TQKtYl,Esfiha Carne com Queijo	,Carne com Queijo,8,4.8,https://ugxpfpbwyzefkyhpxqra.supabase.co/storage/v1/object/public/imagens-cardapio/Carne_com_Queijo-otimizada-06052026201849.webp,esfihas,[],false,true,false,[],false,padrao,false,2,false,,[],,false,2026-05-29 02:17:52.336267+00,2026-05-29 02:17:52.336267+00
3sazHSUNl9DCuvXEpzZp,Esfiha de Nutella com Banana,Nutella com Banana,12,7.2,https://ugxpfpbwyzefkyhpxqra.supabase.co/storage/v1/object/public/imagens-cardapio/Esfiha_de_Nutella_com_Banana__Oliveira_-otimizada-06052026203117.webp,esfihas-doces,[],false,true,false,[],false,padrao,false,2,false,,[],,false,2026-05-29 02:17:52.336267+00,2026-05-29 02:17:52.336267+00
44QlyTVfbwIxmtzUPaF2,"Carne Seca 1 ","Carne seca, mussarela, cebola e provolone",70,42,https://xiahufkvflyuvzhuhwpm.supabase.co/storage/v1/object/public/imagens-cardapio/Carne_Seca_1-otimizada-31052026112826.webp,grandes-salgadas,[],false,true,true,"[{""id"":""65200a28-fd77-47d6-8d1a-765523d1602b"",""name"":""Adicionais"",""maxAllowed"":10,""variations"":[""f78ebbee-55a3-4455-ae8b-6f67a65415a1"",""579a739b-3dd7-43a1-95bf-4417e13aa85f"",""62412b08-cef0-4c91-bd3d-3f8fe660262b"",""e89d4ef3-40ff-4078-b8f3-f5d37dfed0dd"",""f8fafdb1-96ab-449a-b35e-0124f50a90eb"",""7888ee6b-9c65-4f96-bfc5-771adcdd30b0"",""8b6d8cc8-e5dc-4afc-97e2-91884b35811a"",""91f8df10-9f26-43ef-9b14-fc0e1b2d1bf9"",""d7bd9e30-9304-448e-81df-2dfeaf927cb8"",""3d9f4a17-a09f-4f8b-a6a0-f487bffc51f9"",""c3fd2e01-9e89-4c78-be81-e7d2170cc7f4"",""c8f0326f-79a3-421d-84b4-d0088e689b7d"",""7dd29981-e50f-409a-8fd5-68a29d5ef0d8"",""00c1e06d-5e66-45a2-a322-900b743b58fc"",""05ecdd1e-e2d4-4f42-b27a-7f8fb48f71fd"",""dd8d0bb6-cb73-4028-99f3-66440db3460f"",""ef119b22-adeb-4919-a8f2-2030052341c4"",""11d6bf6e-7ca4-4ed3-ad14-15304649f97f"",""642e36c0-d22a-4adb-ad46-2b041cd5c4fc"",""3bfd146f-f42a-4d23-aef8-1d5b0932f469"",""1410a2b0-1313-40e3-a5eb-32f62a35b7ab""],""minRequired"":0,""allowPerHalf"":true,""internalName"":""Adicionais Pizzas Grandes Salgadas"",""customMessage"":""Turbine sua pizza com esses adicionais"",""applyToHalfPizza"":true}]",false,pizza,true,2,false,,"[{""id"":""429ed7dc-d200-4a74-a464-462bb2139ade"",""name"":""🍯 Doce de Leite"",""available"":true,""description"":"""",""additionalPrice"":15},{""id"":""5afc6eb7-e4c0-4f09-8fe0-70b203810677"",""name"":""🧀 Cheddar"",""available"":true,""description"":"""",""additionalPrice"":15},{""id"":""880cbc22-7f38-4c19-b43c-ef3cdb169b7d"",""name"":""🧀 Catupiry"",""available"":true,""description"":"""",""additionalPrice"":15},{""id"":""139807d7-f35f-43fb-a346-7f79cf615466"",""name"":""🤎 Chocolate"",""available"":true,""description"":"""",""additionalPrice"":15}]",0,false,2026-05-29 02:17:52.336267+00,2026-05-31 14:28:30.74864+00
44v8UZF4LprKtxIyZi61,Quatro Queijos 2,"Muçarela, Catupiry. Parmesão e Gorgonzola",55,33,https://xiahufkvflyuvzhuhwpm.supabase.co/storage/v1/object/public/imagens-cardapio/Quatro_Queijos_2-otimizada-31052026113744.webp,grandes-salgadas,[],false,true,true,"[{""id"":""65200a28-fd77-47d6-8d1a-765523d1602b"",""name"":""Adicionais"",""maxAllowed"":10,""variations"":[""f78ebbee-55a3-4455-ae8b-6f67a65415a1"",""579a739b-3dd7-43a1-95bf-4417e13aa85f"",""62412b08-cef0-4c91-bd3d-3f8fe660262b"",""e89d4ef3-40ff-4078-b8f3-f5d37dfed0dd"",""f8fafdb1-96ab-449a-b35e-0124f50a90eb"",""7888ee6b-9c65-4f96-bfc5-771adcdd30b0"",""8b6d8cc8-e5dc-4afc-97e2-91884b35811a"",""91f8df10-9f26-43ef-9b14-fc0e1b2d1bf9"",""d7bd9e30-9304-448e-81df-2dfeaf927cb8"",""3d9f4a17-a09f-4f8b-a6a0-f487bffc51f9"",""c3fd2e01-9e89-4c78-be81-e7d2170cc7f4"",""c8f0326f-79a3-421d-84b4-d0088e689b7d"",""7dd29981-e50f-409a-8fd5-68a29d5ef0d8"",""00c1e06d-5e66-45a2-a322-900b743b58fc"",""05ecdd1e-e2d4-4f42-b27a-7f8fb48f71fd"",""dd8d0bb6-cb73-4028-99f3-66440db3460f"",""ef119b22-adeb-4919-a8f2-2030052341c4"",""11d6bf6e-7ca4-4ed3-ad14-15304649f97f"",""642e36c0-d22a-4adb-ad46-2b041cd5c4fc"",""3bfd146f-f42a-4d23-aef8-1d5b0932f469"",""1410a2b0-1313-40e3-a5eb-32f62a35b7ab""],""minRequired"":0,""allowPerHalf"":true,""internalName"":""Adicionais Pizzas Grandes Salgadas"",""customMessage"":""Turbine sua pizza com esses adicionais"",""applyToHalfPizza"":true}]",false,pizza,true,2,false,,"[{""id"":""429ed7dc-d200-4a74-a464-462bb2139ade"",""name"":""🍯 Doce de Leite"",""available"":true,""description"":"""",""additionalPrice"":15},{""id"":""5afc6eb7-e4c0-4f09-8fe0-70b203810677"",""name"":""🧀 Cheddar"",""available"":true,""description"":"""",""additionalPrice"":15},{""id"":""880cbc22-7f38-4c19-b43c-ef3cdb169b7d"",""name"":""🧀 Catupiry"",""available"":true,""description"":"""",""additionalPrice"":15},{""id"":""139807d7-f35f-43fb-a346-7f79cf615466"",""name"":""🤎 Chocolate"",""available"":true,""description"":"""",""additionalPrice"":15}]",0,false,2026-05-29 02:17:52.336267+00,2026-05-31 14:37:46.396152+00
47hQIWVXCPNsFteSy8qy,Esfiha de Oreo,Chocolate Branco e Oreo,8,4.8,https://ugxpfpbwyzefkyhpxqra.supabase.co/storage/v1/object/public/imagens-cardapio/Esfiha_de_Oreo__Oliveira_-otimizada-06052026203206.webp,esfihas-doces,[],false,true,false,[],false,padrao,false,2,false,,[],,false,2026-05-29 02:17:52.336267+00,2026-05-29 02:17:52.336267+00
4Eu8HKOylxbnxZEaF533,Esfiha de Carne com Cheddar	,Carne com Cheddar,8,4.8,https://ugxpfpbwyzefkyhpxqra.supabase.co/storage/v1/object/public/imagens-cardapio/Carne_com_cheddar__Oliveira_-otimizada-06052026202246.webp,esfihas,[],false,true,false,[],false,padrao,false,2,false,,[],,false,2026-05-29 02:17:52.336267+00,2026-05-29 02:17:52.336267+00
4pruRhvN2bIo55lavsOK,Alho e Óleo,Mussarela e alho granulado,40.5,24.3,https://ugxpfpbwyzefkyhpxqra.supabase.co/storage/v1/object/public/imagens-cardapio/Broto_Alho_e_Oleo__Pizzaria_Oliveira__IA-otimizada-06052026120706.webp,brotos-salgados,[],false,true,false,[],false,pizza,false,2,false,,[],,false,2026-05-29 02:17:52.336267+00,2026-05-29 02:17:52.336267+00
4QUT2zOmATX776yGPCcG,Lombopiry,Lombo e catupiry	,55,33,https://xiahufkvflyuvzhuhwpm.supabase.co/storage/v1/object/public/imagens-cardapio/Lombopiry-otimizada-31052026113302.webp,grandes-salgadas,[],false,true,true,"[{""id"":""65200a28-fd77-47d6-8d1a-765523d1602b"",""name"":""Adicionais"",""maxAllowed"":10,""variations"":[""f78ebbee-55a3-4455-ae8b-6f67a65415a1"",""579a739b-3dd7-43a1-95bf-4417e13aa85f"",""62412b08-cef0-4c91-bd3d-3f8fe660262b"",""e89d4ef3-40ff-4078-b8f3-f5d37dfed0dd"",""f8fafdb1-96ab-449a-b35e-0124f50a90eb"",""7888ee6b-9c65-4f96-bfc5-771adcdd30b0"",""8b6d8cc8-e5dc-4afc-97e2-91884b35811a"",""91f8df10-9f26-43ef-9b14-fc0e1b2d1bf9"",""d7bd9e30-9304-448e-81df-2dfeaf927cb8"",""3d9f4a17-a09f-4f8b-a6a0-f487bffc51f9"",""c3fd2e01-9e89-4c78-be81-e7d2170cc7f4"",""c8f0326f-79a3-421d-84b4-d0088e689b7d"",""7dd29981-e50f-409a-8fd5-68a29d5ef0d8"",""00c1e06d-5e66-45a2-a322-900b743b58fc"",""05ecdd1e-e2d4-4f42-b27a-7f8fb48f71fd"",""dd8d0bb6-cb73-4028-99f3-66440db3460f"",""ef119b22-adeb-4919-a8f2-2030052341c4"",""11d6bf6e-7ca4-4ed3-ad14-15304649f97f"",""642e36c0-d22a-4adb-ad46-2b041cd5c4fc"",""3bfd146f-f42a-4d23-aef8-1d5b0932f469"",""1410a2b0-1313-40e3-a5eb-32f62a35b7ab""],""minRequired"":0,""allowPerHalf"":true,""internalName"":""Adicionais Pizzas Grandes Salgadas"",""customMessage"":""Turbine sua pizza com esses adicionais"",""applyToHalfPizza"":true}]",false,pizza,true,2,false,,"[{""id"":""429ed7dc-d200-4a74-a464-462bb2139ade"",""name"":""🍯 Doce de Leite"",""available"":true,""description"":"""",""additionalPrice"":15},{""id"":""5afc6eb7-e4c0-4f09-8fe0-70b203810677"",""name"":""🧀 Cheddar"",""available"":true,""description"":"""",""additionalPrice"":15},{""id"":""880cbc22-7f38-4c19-b43c-ef3cdb169b7d"",""name"":""🧀 Catupiry"",""available"":true,""description"":"""",""additionalPrice"":15},{""id"":""139807d7-f35f-43fb-a346-7f79cf615466"",""name"":""🤎 Chocolate"",""available"":true,""description"":"""",""additionalPrice"":15}]",0,false,2026-05-29 02:17:52.336267+00,2026-05-31 14:33:04.5132+00
629Q8n91Rcrf4RwOBw1L,Baiacatu,"Calabresa Moída, catupiry e cebola",55,33,https://xiahufkvflyuvzhuhwpm.supabase.co/storage/v1/object/public/imagens-cardapio/Baiacatu-otimizada-31052026112549.webp,grandes-salgadas,[],false,true,true,"[{""id"":""65200a28-fd77-47d6-8d1a-765523d1602b"",""name"":""Adicionais"",""maxAllowed"":10,""variations"":[""f78ebbee-55a3-4455-ae8b-6f67a65415a1"",""579a739b-3dd7-43a1-95bf-4417e13aa85f"",""62412b08-cef0-4c91-bd3d-3f8fe660262b"",""e89d4ef3-40ff-4078-b8f3-f5d37dfed0dd"",""f8fafdb1-96ab-449a-b35e-0124f50a90eb"",""7888ee6b-9c65-4f96-bfc5-771adcdd30b0"",""8b6d8cc8-e5dc-4afc-97e2-91884b35811a"",""91f8df10-9f26-43ef-9b14-fc0e1b2d1bf9"",""d7bd9e30-9304-448e-81df-2dfeaf927cb8"",""3d9f4a17-a09f-4f8b-a6a0-f487bffc51f9"",""c3fd2e01-9e89-4c78-be81-e7d2170cc7f4"",""c8f0326f-79a3-421d-84b4-d0088e689b7d"",""7dd29981-e50f-409a-8fd5-68a29d5ef0d8"",""00c1e06d-5e66-45a2-a322-900b743b58fc"",""05ecdd1e-e2d4-4f42-b27a-7f8fb48f71fd"",""dd8d0bb6-cb73-4028-99f3-66440db3460f"",""ef119b22-adeb-4919-a8f2-2030052341c4"",""11d6bf6e-7ca4-4ed3-ad14-15304649f97f"",""642e36c0-d22a-4adb-ad46-2b041cd5c4fc"",""3bfd146f-f42a-4d23-aef8-1d5b0932f469"",""1410a2b0-1313-40e3-a5eb-32f62a35b7ab""],""minRequired"":0,""allowPerHalf"":true,""internalName"":""Adicionais Pizzas Grandes Salgadas"",""customMessage"":""Turbine sua pizza com esses adicionais"",""applyToHalfPizza"":true}]",false,pizza,true,2,false,,"[{""id"":""429ed7dc-d200-4a74-a464-462bb2139ade"",""name"":""🍯 Doce de Leite"",""available"":true,""description"":"""",""additionalPrice"":15},{""id"":""5afc6eb7-e4c0-4f09-8fe0-70b203810677"",""name"":""🧀 Cheddar"",""available"":true,""description"":"""",""additionalPrice"":15},{""id"":""880cbc22-7f38-4c19-b43c-ef3cdb169b7d"",""name"":""🧀 Catupiry"",""available"":true,""description"":"""",""additionalPrice"":15},{""id"":""139807d7-f35f-43fb-a346-7f79cf615466"",""name"":""🤎 Chocolate"",""available"":true,""description"":"""",""additionalPrice"":15}]",0,false,2026-05-29 02:17:52.336267+00,2026-05-31 14:25:51.324343+00
